Longitude[deg], Latitude[deg], Radiance
24.885300 7.528900 0.055219
24.894699 7.528600 0.039711
24.902899 7.528200 0.034542
24.910999 7.527900 0.044880
24.919199 7.527500 0.044880
24.928499 7.527100 0.039711
24.936699 7.526800 0.044880
24.944899 7.526400 0.039711
24.952999 7.526000 0.044880
24.962399 7.525700 0.044880
24.696800 7.524600 0.050009
24.710699 7.524200 0.039671
24.715399 7.523800 0.034501
24.723499 7.523500 0.034501
24.732800 7.523100 0.044840
24.739799 7.522800 0.050009
24.749100 7.522400 0.044840
24.757200 7.522000 0.044840
24.765400 7.521700 0.055178
24.774700 7.521300 0.024163
24.782900 7.520900 0.044840
24.790998 7.520600 0.044840
24.800299 7.520200 0.039671
24.808399 7.519900 0.044840
24.817699 7.519500 0.039671
24.825800 7.519100 0.034501
24.834000 7.518800 0.034501
24.843300 7.518400 0.024163
24.851398 7.518000 0.039671
24.859600 7.517700 0.034501
24.868900 7.517300 0.044840
24.877100 7.516900 0.039671
24.885199 7.516600 0.034501
24.893400 7.516200 0.044840
24.902699 7.515800 0.034501
24.910900 7.515500 0.034501
24.918999 7.515100 0.029332
24.928400 7.514700 0.034501
24.936600 7.514400 0.034501
24.944799 7.514000 0.024163
24.954100 7.513600 0.039671
24.962299 7.513300 0.044840
24.696600 7.512200 0.049970
24.710600 7.511800 0.044801
24.715199 7.511500 0.039631
24.723299 7.511100 0.034462
24.731400 7.510800 0.044801
24.739500 7.510400 0.044801
24.748899 7.510000 0.034462
24.757099 7.509700 0.034462
24.765299 7.509300 0.039631
24.774599 7.508900 0.039631
24.782700 7.508600 0.029293
24.790899 7.508200 0.034462
24.800200 7.507800 0.039631
24.808300 7.507500 0.039631
24.816399 7.507100 0.024124
24.825699 7.506700 0.034462
24.833799 7.506400 0.055139
24.841999 7.506000 0.024124
24.851299 7.505700 0.044801
24.859499 7.505300 0.029293
24.867599 7.504900 0.039631
24.876900 7.504600 0.034462
24.885099 7.504200 0.034462
24.893299 7.503800 0.039631
24.902599 7.503500 0.039631
24.910799 7.503100 0.029293
24.918900 7.502700 0.024124
24.928299 7.502400 0.029293
24.935299 7.502000 0.044801
24.944599 7.501600 0.029293
24.953999 7.501300 0.029293
24.962200 7.500900 0.039631
24.697599 7.499800 0.044760
24.710499 7.499400 0.039591
24.715099 7.499100 0.039591
24.723200 7.498700 0.049930
24.732500 7.498400 0.034422
24.739399 7.498000 0.034422
24.748699 7.497600 0.039591
24.756899 7.497300 0.034422
24.765099 7.496900 0.049930
24.774399 7.496600 0.039591
24.782598 7.496200 0.044760
24.790699 7.495800 0.034422
24.799999 7.495500 0.044760
24.808100 7.495100 0.039591
24.816299 7.494700 0.039591
24.825600 7.494400 0.044760
24.833700 7.494000 0.034422
24.842999 7.493600 0.049930
24.851200 7.493300 0.039591
24.859299 7.492900 0.039591
24.867500 7.492600 0.044760
24.876799 7.492200 0.034422
24.885000 7.491800 0.034422
24.894299 7.491400 0.039591
24.902500 7.491100 0.039591
24.910599 7.490700 0.039591
24.918798 7.490400 0.029253
24.928099 7.490000 0.044760
24.936300 7.489600 0.029253
24.944500 7.489300 0.034422
24.952700 7.488900 0.034422
24.962099 7.488500 0.034422
24.697599 7.487400 0.034381
24.710400 7.487100 0.055058
